appraiser_name,study_id,paper_title,start_time,item_1,item_1_comment,item_2,item_2_comment,item_3,item_3_comment,item_4,item_4_comment,item_5,item_5_comment,item_6,item_6_comment,item_7,item_7_comment,item_8,item_8_comment,item_9,item_9_comment,item_10,item_10_comment,item_11,item_11_comment,item_12,item_12_comment,item_13,item_13_comment,item_14,item_14_comment,overall_comment,finish_time
Lorenzo Ricolfi,s_10,Association between exposure to persistent organic pollutants and pubertal  timing in boys and girls: A systematic review and meta-analysis,10:43,Yes,All statistical analyses in this study were performed using STATA (version 14.0) software.,No,,Yes,"Finally, a total of 21 studies were included in the meta-analysis, and the process of screening was shown in Fig. 1.",No,,Yes,"Not sure. The authors state: Data on dichotomous variables such as RR, PR, OR, HR and 95 % CI were included in this study. We pooled OR, HR and PR as RR (Che et al., 2021). The pooled RR showed the risk of POPs exposure and early puberty timing in boys and girls, and RR > 1 indicated an increased risk of early puberty timing.",Yes,"Due to theoretical heterogeneity among studies, random-effects models were applied for all pooled analyses.",No,,No,,Yes,Supplementary materials,Yes,"The Q-statistic test and I-squared (I2 ) were adopted to analyze study heterogeneity, and I 2 > 50 % suggested heterogeneity between the studies.",Yes,"Publication bias was evaluated using Egger’s test and Begg’s funnel plots, and the p value > 0.05 in Egger’s test indicated no significant publication bias.",Yes,"By omitting one study at a time, sensitivity analysis was utilized to evaluate the stability of the pooled results.",No,Data will be made available on request.,No,,,10:49
Kyle Morrison,s_10,Association between exposure to persistent organic pollutants and pubertal  timing in boys and girls: A systematic review and meta-analysis,15:20,Yes,,No,,Yes,,No,,No,,Yes,,No,states weights but not strategy,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,13:29
Malgorzata Lagisz,s_10,Association between exposure to persistent organic pollutants and pubertal  timing in boys and girls: A systematic review and meta-analysis,9:06,Yes,,No,,Yes,,Yes,,No,,No,,No,,No,,Yes,,Yes,,Yes,,Yes,,No,,,,,9:17
Ayumi Mizuno,s_10,Association between exposure to persistent organic pollutants and pubertal  timing in boys and girls: A systematic review and meta-analysis,12:13,Yes,"[2.5. Statistical analysis]
All statistical analyses in this study were performed using STATA (version 14.0) software. ",,,Yes,"[3.1. Retrieving results]
Finally, a total of 21 studies were included in the meta-analysis, and the process of screening was shown in Fig. 1.",No,,No,,Yes,"[2.5. Statistical analysis]
Due to theoretical heterogeneity among studies, random-effects models were applied for all pooled analyses. ",Yes,"Maybe.

The authors did not say whether they conducted a meta-analysis with/without weights, but figures showed Weight (%)",Yes,"[2.5. Statistical analysis] When the same type of POPs contained multiple studies (at least 2), and there were 2 or more risk estimates, we performed subgroup analyses according to the category of POPs.",Yes,Figures and Results section,Yes,[2.5] The Q-statistic test and I-squared (I2) were adopted to analyze study heterogeneity,Yes,"[2.5] Publication bias was evaluated using Egger’s test and Begg’s funnel plots, and the p-value > 0.05 in Egger’s test indicated no significant publication bias",Yes,"[2.5 Statistical analysis] 
By omitting one study at a time, sensitivity analysis was utilized to evaluate the stability of the pooled results.

",No,"[Data Availability]
Data will be made available on request",Yes,"Maybe No or partial description of variables?
I think the below section describes (some of) the extracted variables, but I do not know clearly.
 
[2.4 Definition of variable]
Pubertal timing refers to the time when various physiological changes such as menarche, breast development, pubic hair development, testicular development (testicular volume) and genital development initially occur during the period of dynamic development of the gonads and genitals. Tanner staging is a common method for assessing the stages of pubertal development, which is divided into stages 1–5, with stage 2 representing the onset of puberty and stage 5 representing sexual maturity (Tanner, 1962). Therefore, the onset of puberty in this study was defined as: the onset of menarche; breast development, genital development, and pubic hair development reaching Tanner stage 2; testicular volume > 3 mL. In the 21 included literatures, except for the time of menarche, which was assessed through questionnaires, follow-up, or telephone interviews, the rest of the pubertal developmental characteristics were determined by Tanner staging based on clinical assessment (physical examination, manual measurement) or self-report Tanner scale.",,12:39
Patrice Pottier,s_10,Association between exposure to persistent organic pollutants and pubertal  timing in boys and girls: A systematic review and meta-analysis,8:37,Yes,All statistical analyses in this study were performed using STATA (version 14.0) software,,All statistical analyses in this study were performed using STATA (version 14.0) software,Yes,"Finally, a total of 21 studies were included in the meta-analysis, and the process of screening was shown in Fig. 1. ",No,,No,"The authors extracted effect sizes that were already calculated in the original studies, so it makes sense they don't report formulas. ""Inclusion criteria: (1) observational research such as cross-sectional, case-control and cohort studies; (2) the subjects were adolescents or children exposed to POPs; (3) the outcomes included age at menarche, breast development, genital development, testicular volume, pubic hair development; (4) the relative risk (RR) or hazards ratio (HR) or prevalence ratio (PR) or odds ratio (OR) of each chemical exposure, along with the matching 95 % confidence interval (CI) were reported.""",Yes,"Due to theoretical heterogeneity among studies, random-effects models were applied for all pooled analyses.",No,"Weights are reported in figures, but not how they were calculated. ",Yes,"""Due to theoretical heterogeneity among studies, random-effects models were applied for all pooled analyses.""",Yes,Fig. 2,Yes,"""The Q-statistic test and I-squared (I2) were adopted to analyze study heterogeneity, and I 2 > 50 % suggested heterogeneity between the studies"". However, they only report I2 values for a small subgroup analysis in the supplement.",Yes,"""Publication bias was evaluated using Egger’s test and Begg’s funnel plots, and the p value > 0.05 in Egger’s test indicated no significant publication bias.""",Yes,See paragraph 3.7 of results,No,Data will be made available on request.,,Data will be made available on request.,"Measures of heterogeneity are only reported for a small subgroup analysis in the supplement. I still used ""yes"" for Item 10.",8:56
Beillouin Damien,s_10,Association between exposure to persistent organic pollutants and pubertal  timing in boys and girls: A systematic review and meta-analysis,9:52,Yes,All statistical analyses in this study were performed using STATA (version 14.0) software,No,I haven't found any code.script,Yes,Fig. 1. Screening flow chart of eligible studies before 1 June 2023.,Yes,We can count the number of row in Fig. 2. Forest plot of the relationship between (A) POPs and (B) specific POPs exposure and pubertal timing in girls.,No,"one inclusion criteria is : (4) the relative risk (RR) or hazards ratio (HR) or prevalence ratio (PR) or odds ratio (OR) of each chemical exposure, along with the matching 95 % confidence interval (CI) were reported.
But no information on how is it calculated.

!!!!!! Attention!!! this study presents ratio that are maybe erroneous/not possible?!
RR > 15??",Yes," Due to theoretical heterogeneity among studies, random-effects models were applied for all pooled analyses

But, For me this sentence is not enough.... I would need the details of the random structure if I would like to reproduce the analyses...",Yes,see e.g. Fig. 2. Forest plot of the relationship between (A) POPs and (B) specific POPs exposure and pubertal timing in girls.,No,the primary studies are cohort/cross sectional studies-> there are only one effect-size extracted per study?,Yes,Fig. 2. Forest plot of the relationship between (A) POPs and (B) specific POPs exposure and pubertal timing in girls.,Yes,Fig. 2. Forest plot of the relationship between (A) POPs and (B) specific POPs exposure and pubertal timing in girls.,Yes,FIg S7 and S8,Yes,S9 and S10,Yes,in the forest plots,Yes,"and extracted key information from the final retained studies, including the first author, the year of publication, the region of authors, the sampling location, the sampling year, the type of study design, the study population, the age of participants, the sample type, the source of participants, the outcome indicators, and risk estimates with 95 % CI adjusted for confounding factors.

-> But is this enough?",,10:12
Shinichi Nakagawa,s_11,Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,15:47,Yes,,No,,Yes,,No,,No,,Yes,,No,,No,,Yes,,Yes,,Yes,,No,,No,,,,,16:06
Simone Cardoso,s_11,Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,11:10,Yes,"Methods section; Last sentence in the ""Statistical analysis"" subheading.",No,,Yes,"Results section. Subheading ""Characteristics of the studies"", third paragraph and Figure 1.",Yes,"16 effect sizes were reported at the Results section. Subheading ""Characteristics of the studies"", third paragraph.",No,,Yes,"Methods section; 4th paragraph in the ""Statistical analysis"" subheading. Results section; 1st paragraph in the ""Overall and subgroup analysis of pooled data"" subheading.",Yes,"Methods section; 3rd and 5th paragraph in the ""Statistical analysis"" subheading;  Figure 2 and Table 3.",No,,Yes,"Results section. Subheading ""Overall and subgroup analysis of pooled data"", first paragraph;  Figure 2.",Yes,Table 3,Yes,"Results section. Subheading ""Sensitivity analysis and publication bias""; Figures 3 and 4. ",Yes,"Results section. Subheading ""Sensitivity analysis and publication bias""; Figure 3.",Yes,Table 2,Yes,Tables 1 and 2,"Well conducted meta-analysis. Most data available in the text, tables and figures and are easy to extract. Statistical analysis are clear.",11:44
Ziqian Xia,s_11,Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,15:30,Yes,"In the Statistical analysis section:

""All statistical tests were carried out by Stata software (version 14) and P values < 0.05 were considered statistically significant.""",No,,Yes,"In the results section:

""Overall, a total of 609 records were recognized from the electronic databases. After excluding the duplicates (n = 141), 423 studies were removed during the title/abstract screening and then 45 records underwent full-text evaluation. Of these, 34 publications did not meet the inclusion criteria.""",No,,No,,Yes,"In the Statistical analysis section:


""Because of significant evidence for heterogeneity, effect sizes were pooled using the DerSimonian – Laird random-effects model (DerSimonian and Kacker Citation2007).""",Yes,"Random-effects (DerSimonian and Laird) method is a variation on the inverse-variance method. So I think the author have reported the effect size weights method.
",No,,Yes,Figure 3. Forest plot of the pooled data for the association between water arsenic exposure and risk of PTB stratified by adjustment for covariates.,Yes,"In the results section:

""...with significant heterogeneity across the studies (I2 = 84.8%, P = 0.001)...""",Yes,Figure 4. Funnel plot for publication bias.,No,,No,,,,,15:50
Kyle Morrison,s_11,Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,10:55,Yes,,No,,Yes,,No,,No,,No,,Yes,,No,,Yes,,Yes,,Yes,,No,,No,,,,,11:04
Brian Gallagher,s_11,Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,13:24,Yes,End of Methods section,No,"Used Stata for analysis, but did not provide any syntax or coding log",Yes,Figure 1 and first paragraph of Results,No,"Appear to use one effect size from each study, but this is not explicitly stated",No,"Use odds ratio or relative risk ratio, but do not define these terms or provide a formula",Yes,Described in Methods: Statistical Analysis,No,"Authors appeared to use weights based on funnel plots, but do not explicitly state weighting strategy",No,,Yes,Figures 2 and 3,Yes,In Results section,Yes,Text and Figures 4 and 5,Yes,Subgroup analysis,No,"Effect sizes shown for each study in forest plots, but data are not explicitly reported",,Answered 'No' for item 13,"This particular study was light on details, which made it hard to figure out exactly what the authors did and their intentions behind each decision.",14:00
Edward Purssell,s_11,Association between maternal exposure to arsenic by drinking water during pregnancy and risk of preterm birth: a systematic review and meta-analysis,14.35,Yes,"Stata version 14 (Stata Corp, College Station, TX, USA) was applied to perform the analyses.",No,,Yes,"Text, table, and forest plots",Yes,,Yes,"Although a formula is not given, they state that they used a random effects model with the OR and RR which are standard",Yes,,Yes,In the forest plot,No,"There are two studies that contribute multiple effect sizes, there does not appear to be any discussion or adjustment made for this.",Yes,Forest plot,Yes,Text and forest plot,Yes,Includes a funnel plot,Yes,Extensive analyses.  Maybe too many for a smallish sample size - 14 studies,Yes,"Text and forest plot, some in tables as well",Yes,Tables 2 and 3,There is a lot of information here; maybe too much for the number of studies and multiple outcomes/ predictors included.  The lack of attention to the multiple effect sizes from two of the studies is curious.,14.55
